gene,ctrl_1,ctrl_2,ctrl_3,lps_1,lps_2,lps_3
4933401J01Rik,0,0,0,0,0,0
Gm26206,0,0,0,0,0,0
Xkr4,0,0,0,0,0,0
Gm18956,0,0,0,0,0,0
Gm37180,0,0,0,0,0,0
Gm37363,0,0,0,0,0,0
Gm37686,0,0,0,0,0,0
Gm1992,0,0,0,0,0,0
Gm37329,0,0,0,0,0,0
Gm7341,0,0,0,0,0,0
Gm38148,0,0,0,0,0,0
Gm19938,0,0,0,0,0,0
Gm10568,0,0,0,0,0,0
Gm38385,0,0,0,0,0,0
Gm27396,0,0,0,0,0,0
Gm37381,0,0,0,0,0,0
Rp1,0,0,0,0,0,0
Gm6101,0,0,0,0,0,0
Gm37483,0,0,0,0,0,0
Sox17,0,0,0,0,0,0
Gm37587,0,0,0,0,0,0
Gm7357,0,0,0,0,0,1
Gm22307,0,0,0,0,0,0
Gm38076,0,0,0,0,0,0
Gm37323,0,0,0,0,0,0
Gm7369,0,0,0,0,0,0
Gm6085,4,1,0,4,2,0
Gm6119,0,0,1,0,0,0
U6|ENSMUSG00002075947.1,0,0,0,0,0,0
Gm2053,0,0,0,0,0,0
Gm6123,5,5,1,8,7,7
Mrpl15,981,720,705,643,633,569
Gm37144,11,7,4,6,4,1
Lypla1,1585,1032,1023,887,724,766
Gm37988,0,0,0,0,0,0
Tcea1,2393,1514,1435,2808,2385,2409
Gm6104,1,2,5,1,0,0
Gm37277,0,7,3,0,0,0
Rgs20,0,0,0,0,0,0
Gm17100,0,0,0,0,0,0
Gm37079,0,0,0,0,0,0
Gm16041,0,0,0,0,0,0
Gm17101,0,0,0,0,0,0
Atp6v1h,3696,2408,2320,3336,2970,2603
Gm7182,0,0,0,0,0,0
Gm37567,0,0,0,0,0,0
Gm38264,0,0,0,0,0,0
Oprk1,0,0,0,0,0,0
Gm36965,0,0,0,0,0,0
ENSMUSG00002076544,0,0,0,0,0,0
Gm37429,0,0,0,0,0,0
Npbwr1,0,0,0,0,0,0
Gm19214,0,0,0,0,0,0
Rb1cc1,1423,863,887,850,881,742
4732440D04Rik,73,55,48,35,65,51
Alkal1,0,0,0,0,0,0
Gm2147,0,0,1,0,6,1
