rank,gene,baseMean,log2FoldChange,padj
1,Edn1,5666.942626856601,17.867464012770203,1.3738590093838806e-16
2,Nos2,20017.84244127636,16.05969713807628,1.220710232387515e-55
3,Shisa3,5222.34601379785,14.979375734779724,3.1135635313238432e-27
4,Il6,5660.5489243223565,13.683226911433955,3.174860599445837e-60
5,Tnfsf15,1425.6853431761444,13.08593746781572,3.55695564736113e-21
6,Il1b,68788.32908809998,12.550740166604935,1.5457925039822679e-260
7,Il1a,8086.325839364262,12.47088729546882,2.654360052504986e-46
8,Lipg,9927.49703098507,12.155076631515657,1.0365604804699815e-239
9,Saa3,46874.721172712954,11.76899876755478,6.7033146685858035e-202
10,Cxcl10,102670.27326818596,11.7309904776763,0.0
11,Acod1,108441.48060145474,11.618240646766663,1.9100814169965376e-99
12,Gbp5,33578.32439401262,11.24258486994048,0.0
13,Il12b,3148.335623933291,10.789251544680264,1.9373359698071968e-151
14,Serpinb2,1452.342973623968,10.755973520109272,6.866272469414534e-73
15,Itgb8,2232.7916275591615,10.664880684053957,2.1442034145828382e-116
16,Cd69,7619.137425024666,10.653982133345531,0.0
17,Ptgs2,64346.60149477294,10.58988526538256,0.0
18,Steap4,452.4879448638553,10.535394480428842,7.444242070627912e-25
19,Serpina3g,247.05253601498305,10.488292775486393,4.0841900594178116e-14
20,Socs3,34515.65762115748,10.291562715539218,0.0
21,Adamts4,862.8186863348609,10.249041661989889,1.6540814944436652e-55
22,Ifi205,12224.71702064304,10.206283994028404,0.0
23,Ccl12,512.8845102426695,10.183636891689376,7.068334028589059e-34
24,Ptx3,352.0196735448626,10.164172005747217,2.833742285088526e-23
25,Ccl5,41302.13701595278,9.993217627791305,0.0
26,Col27a1,918.2654902064684,9.872201763428532,3.102609112310473e-71
27,Slamf1,527.9897454460933,9.845334484529852,2.556041589446308e-41
28,Ptges,9281.422149577504,9.810357279563048,0.0
29,Il27,7116.65552119004,9.743577982284938,1.218419453646686e-103
30,Rsad2,114066.29785237629,9.677464903146747,0.0
31,Serpina3f,358.77391666663954,9.667570899594104,1.659282343522043e-30
32,Cxcl9,1104.1699833211435,9.64407326567093,9.000880824882667e-95
33,Hdc,3744.05614274214,9.512209699418737,0.0
34,Trim30c,3906.8643121389346,9.493761040688511,0.0
35,Tmem200b,124.74369428808296,9.46874699159212,8.973111784518004e-12
36,Cxcl2,10232.80924546419,9.277988796150307,0.0
37,Rnd1,5794.5592566026635,9.26857841316933,6.279653106808291e-292
38,Cxcl1,3271.5295747342384,9.268491631334378,1.1085897238823586e-71
39,Tarm1,1750.2358561831495,9.258086872024258,6.490156542476561e-179
40,Cxcl3,2585.2416299913034,9.141758703117771,3.0450961657230757e-176
41,Ccl17,98.46224662833622,9.116638059749633,5.764762869085019e-11
42,Rasgrp1,783.5245046904965,9.011571895294734,2.074269399734238e-89
43,Iigp1,3438.186987885596,8.801725266712918,0.0
44,Gbp6,869.051100662512,8.719225929509363,9.0352134191115e-113
45,Inhba,300.93943027828476,8.715522329779368,7.349628523630706e-40
46,Gbp2,24637.312534881872,8.713558211873693,0.0
47,Tnfsf4,187.0980177147318,8.701277141458538,1.0108680128104328e-24
48,Mmp13,43062.69218868341,8.669208256998214,0.0
49,Bcl2a1a,1443.8663611146994,8.628323927575751,1.110511278459453e-20
50,Ccl4,62023.35218132308,8.627251806972684,0.0
