gene,baseMean,log2FoldChange,pvalue,padj
Golga3,4648.292901618705,2.5149107855581905,0.0,0.0
Foxp4,3135.181868473546,4.765274241555204,0.0,0.0
Tlk2,3079.395289876979,2.904989245279305,0.0,0.0
Acsl1,5895.464279068498,3.3414930822204454,0.0,0.0
Slc44a1,9992.703312695116,2.4368930777582962,0.0,0.0
Snx10,10451.862469776235,3.379571710504626,0.0,0.0
Tax1bp1,14799.348531902911,3.085550498986864,0.0,0.0
Tgfbr1,3711.1900092328306,-2.883347214000835,0.0,0.0
Lcn2,4490.481407883269,6.603567954377491,0.0,0.0
Prkx,4850.912289514322,2.6771076632791573,0.0,0.0
Vps54,3722.1225664365666,2.6875787579171626,0.0,0.0
Nod1,3120.3890126919673,6.076341820978082,0.0,0.0
Tor3a,13216.00854035381,3.8279741381184165,0.0,0.0
Ass1,2599.777230854104,5.729482640462117,0.0,0.0
Peli1,10358.33066436465,4.581322792873981,0.0,0.0
Nt5c3,5871.998255844283,4.661009900284189,0.0,0.0
Ppm1k,1103.3545636402862,4.083515830578505,0.0,0.0
Herc6,3856.168333282459,5.13432726676373,0.0,0.0
Sap30,3881.4039521113596,3.200105198501076,0.0,0.0
Ddx60,3651.7479420116106,4.766504519615425,0.0,0.0
Nfkbiz,12616.807801069199,5.318348029740336,0.0,0.0
Denr,3546.9981298175608,2.5262204629564273,0.0,0.0
Arl4c,2774.465838003411,-4.426768030742194,0.0,0.0
Tnfaip3,35057.94472449953,6.955017774257718,0.0,0.0
Ddx58,11407.741350369675,4.6235166959826515,0.0,0.0
Calhm6,2141.8559373087023,7.798686454464403,0.0,0.0
Tnip3,25786.8945312946,3.5993292440469817,0.0,0.0
Aldh1b1,1147.6442666837163,4.094686233479343,0.0,0.0
Filip1l,3136.2940034989047,3.1885091854510814,0.0,0.0
Rel,5321.168895500515,3.1375760826626466,0.0,0.0
Eif2ak2,8422.661653175664,3.49837119589499,0.0,0.0
Lcp2,9463.601496898145,3.9667609692213297,0.0,0.0
Kdm4a,5670.8343739117745,2.859001918388197,0.0,0.0
Rab11fip1,4327.584656206295,4.740303424397094,0.0,0.0
Ralgds,2266.007280968993,2.9972926696777122,0.0,0.0
Dhx58,6359.184842843778,3.6470934940172315,0.0,0.0
Ebi3,2989.561288679042,4.001353649410823,0.0,0.0
Rap2c,7021.898370435033,3.0384693425825553,0.0,0.0
Cpeb4,9014.06779585861,2.3688902995065306,0.0,0.0
Ifitm3,15581.187080932688,2.526841416823196,0.0,0.0
Parp12,11454.728125530637,3.8785843146223797,0.0,0.0
